Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
3020,1,645000,5.0,339.0,0,0.0,1.0,13.0,1.0,580.0,794.0,4.0,0,1.0,5.0,3.0
1410,1,595000,4.0,151.0,0,0.0,1.0,18.028500959166895,1.0,460.0,544.0,4.0,1,1.0,3.0,1.0
1700,0,269000,3.0,119.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
1700,0,349000,3.0,110.0,0,0.0,1.0,8.0,0.0,0.0,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
1130,0,450000,3.0,148.0,0,0.0,1.0,33.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
1880,0,335000,2.0,95.0,0,0.0,1.0,32.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
8000,0,699000,3.0,181.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,3.0
4650,0,330000,3.0,184.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,1.0
1000,0,560000,3.0,149.0,0,0.0,1.0,36.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
1000,0,326000,2.0,81.0,0,0.0,1.0,6.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
9050,0,449000,3.0,112.0,1,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,3.0
1000,0,484000,3.0,126.0,0,0.0,1.0,13.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,2.0
9052,0,294800,1.0,76.0,0,0.0,1.0,25.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9800,0,230000,1.0,71.0,0,0.0,1.0,18.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,355000,3.0,142.0,0,0.0,1.0,12.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,250000,1.0,82.0,0,0.0,1.0,13.0,1.0,43.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,245000,1.0,82.0,0,0.0,1.0,7.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
9800,0,465000,3.0,171.0,0,0.0,1.0,11.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
9800,0,300000,2.0,97.0,0,0.0,0.0,0.0,1.0,18.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,270000,2.0,88.0,0,0.0,0.0,0.0,1.0,25.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,270000,2.0,91.0,0,0.0,0.0,0.0,1.0,22.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,290000,2.0,91.0,0,0.0,0.0,0.0,1.0,25.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,285000,2.0,97.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,290000,2.0,97.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
